Processed 12275 images in 622.57 seconds
Batch processing times (ms):
Batch 1: 50825.02 ms
Batch 2: 49848.34 ms
Batch 3: 50201.92 ms
Batch 4: 50102.43 ms
Batch 5: 51756.65 ms
Batch 6: 49352.83 ms
Batch 7: 51517.63 ms
Batch 8: 44761.88 ms
Batch 9: 47462.18 ms
Batch 10: 57618.51 ms
Batch 11: 55570.11 ms
Batch 12: 50922.10 ms
Batch 13: 12626.99 ms
