Processed 12275 images in 325.18 seconds
Batch processing times (ms):
Batch 1: 22337.15 ms
Batch 2: 26345.44 ms
Batch 3: 27116.44 ms
Batch 4: 26441.35 ms
Batch 5: 27487.24 ms
Batch 6: 25315.04 ms
Batch 7: 27056.48 ms
Batch 8: 22248.17 ms
Batch 9: 23560.76 ms
Batch 10: 31890.62 ms
Batch 11: 30261.52 ms
Batch 12: 28659.95 ms
Batch 13: 6463.01 ms
